821
5,476
5,476
5,476
6,476
11,476
15,476
16,476
18,476
19,476
22,476
24,476
25,476
26,476
27,476
27,476
30,476
35,476
37,476
42,475
49,475
54,475
58,475
58,475
65,475
68,475
72,475
74,475
80,475
85,475
94,475
102,477
102,477
109,477
115,477
118,477
118,477
121,477
121,477
121,477
124,477
126,477
127,477
130,477
137,477
143,477
145,477
154,477
161,477
168,477
177,477
177,477
178,477
180,477
180,477
182,477
189,477
197,477
204,477
210,477
215,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
220,477
314,478
314,478
314,478
314,478
314,478
314,478
317,478
317,478
324,478
327,478
327,478
330,478
333,478
333,478
340,478
347,478
356,478
364,478
370,478
370,478
376,478
378,478
383,478
387,476
387,476
389,475
389,475
389,475
392,474
398,473
398,473
398,473
401,473
401,473
401,473
407,473
409,473
412,473
415,473
417,473
421,471
421,471
424,470
426,469
427,469
429,469
432,467
432,467
434,465
434,465
434,465
434,465
434,465
434,465
434,465
437,464
438,461
440,457
441,454
441,454
441,452
441,452
441,452
441,449
441,448
441,448
442,447
442,447
442,447
443,446
443,446
444,445
444,445
445,440
446,438
447,435
447,435
447,435
447,435
447,435
447,428
447,426
447,426
447,426
447,426
447,426
447,425
447,421
446,416
446,412
446,411
445,408
445,408
445,408
445,404
445,399
445,392
445,391
445,390
446,389
446,389
446,383
446,380
446,377
446,369
446,367
447,361
448,357
448,353
448,353
448,393
448,391
448,384
448,376
448,373
448,372
448,368
447,364
444,360
443,359
442,356
442,356
440,353
440,353
440,350
440,346
440,345
440,343
440,342
440,342
440,339
440,336
440,336
440,333
440,333
440,333
442,329
443,328
443,325
447,321
449,319
450,316
452,312
452,312
453,311
454,309
454,309
457,304
457,304
458,303
459,303
465,301
465,301
469,298
469,298
472,293
475,287
475,287
475,286
479,283
479,283
481,282
483,280
483,280
485,278
486,277
489,274
495,271
498,270
503,268
506,267
507,267
514,266
514,266
514,266
517,266
520,266
521,266
525,267
526,267
529,267
529,267
535,267
540,268
540,268
542,268
542,268
542,268
518,270
518,270
518,270
517,270
518,271
523,272
525,272
529,272
535,272
538,272
545,272
553,272
556,272
556,272
560,272
564,272
565,272
566,272
569,272
573,275
574,275
574,275
539,275
539,275
542,274
554,276
559,276
562,276
562,276
565,276
570,276
571,276
574,276
578,276
585,276
587,276
600,276
604,276
604,276
604,276
606,276
606,276
611,276
611,276
611,276
611,276
613,276
615,276
621,274
621,274
625,273
631,273
636,273
641,273
641,273
641,273
641,273
642,273
642,273
649,278
652,279
654,280
655,282
657,284
657,284
658,285
659,286
660,290
663,295
664,298
665,303
665,304
665,305
666,307
702,286
702,286
702,286
675,305
675,305
675,305
675,307
674,308
674,312
674,312
674,312
674,315
674,319
674,320
674,321
674,322
674,322
674,325
